arm,bats,birthdate,cb,ch,cl,control,cu,delivery,durability,endurance,ethnicity,fa,facial_hair,fb,first_name,gf,hair_color,height,hitter_archetype,hm,hold_runner,injured,injury_description,is_pitcher,kn,last_name,mo,movement,other_positions,ph,pitcher_archetype,pl,player_id,pot_arm,pot_cb,pot_ch,pot_control,pot_cu,pot_endurance,pot_fa,pot_fb,pot_fielding,pot_gf,pot_hold_runner,pot_kn,pot_movement,pot_ph,pot_sc,pot_si,pot_sl,pot_sp,preferred_pitching_role,primary_position,return_date,role,sc,si,skin_tone,sl,sp,throws,vl,weight
53,R,2005-01-23,,57,56,,,,74,,African,45,clean_shaven,,Leroy,51,black,70,balanced,51,,0,0,False,,Washington,56,,[],55,,60,P8332,68,,77,,,,68,,"{'P': 60, '1B': 100, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",51,,,,79,52,,,59,,C,0,,52,,dark,,30,R,56,182
52,L,1998-08-20,,57,49,,,,64,,African,55,mustache,,Malik,51,black,71,power,47,,0,0,False,,Carter,49,,['RF'],75,,55,P9297,57,,63,,,,60,,"{'P': 110, 'C': 10, '1B': 150, '2B': 80, '3B': 110, 'SS': 70, 'LF': 140}",51,,,,87,49,,,59,,CF,0,,49,,dark,,46,L,61,213
63,R,1996-06-05,,49,55,,,,68,,Asian,51,clean_shaven,,Sung,54,black,72,power,51,,0,0,False,,Zhang,53,,[],68,,43,P2360,61,,52,,,,54,,"{'P': 60, '1B': 100, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",54,,,,65,51,,,42,,C,0,,51,,medium,,46,R,44,212
61,R,1999-08-26,,62,50,,,,69,,Hispanic,47,clean_shaven,,Roberto,47,brown,70,speed_disc,49,,0,0,False,,Lopez,49,,[],43,,56,P3541,68,,70,,,,60,,"{'P': 60, '1B': 100, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",47,,,,57,47,,,71,,C,0,,47,,light,,60,R,80,176
57,S,1996-06-23,,65,48,,,,61,,Hispanic,57,goatee,,Manuel,54,black,74,balanced,50,,0,0,False,,Castillo,47,,[],66,,52,P3836,60,,70,,,,53,,"{'P': 110, 'C': 10, '1B': 150, '2B': 80, '3B': 110, 'SS': 70, 'LF': 140, 'RF': 130}",54,,,,63,43,,,63,,CF,0,,43,,dark,,65,R,66,224
44,R,1998-10-14,,66,53,,,,56,,Anglo,49,clean_shaven,,Tyrone,56,red,71,balanced,47,,0,0,False,,White,47,,['SS'],48,,65,P4882,58,,79,,,,62,,"{'P': 130, 'C': 10, '1B': 160, '3B': 130, 'LF': 150, 'CF': 120, 'RF': 140}",56,,,,56,54,,,73,,2B,0,,54,,light,,64,R,50,209
64,R,1997-03-15,,63,51,,,,64,,Hispanic,46,clean_shaven,,Fernando,53,black,73,contact,48,,0,0,False,,Castillo,53,,[],30,,56,P3225,60,,58,,,,46,,"{'P': 60, '1B': 100, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",53,,,,25,51,,,50,,C,0,,51,,light,,51,R,66,245
65,R,1998-10-07,,62,47,,,,59,,Asian,61,beard,,Yong,51,black,75,speed_disc,46,,0,0,False,,Zhang,53,,[],39,,43,P8908,73,,70,,,,68,,"{'P': 100, 'C': 10, '1B': 140, '2B': 90, 'SS': 80, 'LF': 130, 'CF': 100, 'RF': 120}",51,,,,49,47,,,93,,3B,0,,47,,dark,,78,R,65,227
69,R,2001-07-10,,77,54,,,,71,,Anglo,60,beard,,Malik,46,black,77,speed_disc,53,,0,0,False,,King,53,,[],60,,51,P1350,84,,92,,,,67,,"{'P': 90, 'C': 10, '1B': 130, '2B': 60, '3B': 90, 'SS': 40, 'LF': 110, 'CF': 80}",46,,,,73,47,,,94,,RF,0,,47,,medium,,81,R,70,233
51,L,1996-03-19,,72,48,,,,58,,African,65,beard,,Tyrone,49,brown,71,balanced,47,,0,0,False,,Scott,49,,[],64,,50,P6772,47,,69,,,,61,,"{'P': 140, 'C': 10, '1B': 170, '2B': 100, '3B': 140, 'LF': 160, 'CF': 120, 'RF': 150}",49,,,,67,47,,,52,,SS,0,,47,,medium,,56,R,70,249
