player_id,first_name,last_name,birthdate,height,weight,ethnicity,skin_tone,hair_color,facial_hair,bats,primary_position,other_positions,is_pitcher,role,preferred_pitching_role,ch,ph,sp,gf,pl,vl,sc,fa,arm,endurance,control,movement,hold_runner,fb,cu,cb,sl,si,scb,kn,pot_ch,pot_ph,pot_sp,pot_gf,pot_pl,pot_vl,pot_sc,pot_fa,pot_arm,pot_control,pot_movement,pot_endurance,pot_hold_runner,pot_fb,pot_cu,pot_cb,pot_sl,pot_si,pot_scb,pot_kn,injured,injury_description,return_date,ready,injury_list,injury_start_date,injury_minimum_days,injury_eligible_date,injury_rehab_assignment,injury_rehab_days,durability,pitcher_archetype,hitter_archetype
P7046,Cedric,Green,1999-09-17,68,172,African,dark,black,clean_shaven,L,P,,1,,,,,,55,,,,50,81,71,77,78,63,62,0,0,92,92,0,0,,,,55,,,,57,88,69,92,45,80,76,0,0,54,68,0,0,False,,,1,,,,,,0,50,finesse_starter,
P9817,Emmett,Langoni,1997-10-08,76,183,Anglo,light,brown,clean_shaven,R,P,,1,,,,,,46,,,,52,61,61,69,65,63,85,68,87,90,69,0,0,,,,46,,,,54,57,63,66,59,41,80,68,84,87,68,0,0,False,,,1,,,,,,0,50,middle_relief,
P2554,Rafael,Torres,2004-11-10,75,242,Hispanic,medium,black,clean_shaven,L,P,,1,,,,,,53,,,,50,93,89,67,62,67,83,84,0,47,31,0,0,,,,53,,,,64,99,96,78,81,81,83,99,0,73,54,0,0,False,,,1,,,,,,0,50,power_starter,
P4599,Sung,Choi,2001-10-24,73,178,Asian,medium,black,clean_shaven,L,P,,1,,CL,,,,52,,,,62,66,44,68,77,55,98,60,95,49,0,0,0,,,,52,,,,73,80,77,67,77,64,57,70,99,55,0,0,0,False,,,1,,,,,,0,50,closer,
P8513,Miguel,Torres,2000-05-21,69,200,Hispanic,dark,blonde,mustache,S,P,,1,,,,,,46,,,,54,72,68,68,82,70,69,0,0,34,60,0,0,,,,46,,,,67,77,74,83,77,66,69,0,0,49,66,0,0,False,,,1,,,,,,0,50,specialist_starter,
P3794,Kristopher,Lamarta,2002-03-31,77,244,Anglo,dark,brown,clean_shaven,R,P,,1,,SU,,,,55,,,,43,67,59,79,71,74,92,0,55,34,0,0,0,,,,55,,,,49,80,72,60,76,67,68,0,65,49,0,0,0,False,,,1,,,,,,0,50,setup,
P1548,Xavier,Robinson,2002-01-13,70,195,African,dark,black,clean_shaven,L,P,,1,,,,,,51,,,,60,61,86,76,66,59,75,44,78,0,55,0,0,,,,51,,,,75,75,71,78,68,71,69,57,89,0,61,0,0,False,,,1,,,,,,0,50,balanced_starter,
P3081,Roman,Fitzgibbons,2000-05-17,77,207,Anglo,light,blonde,clean_shaven,S,P,,1,,,,,,52,,,,85,62,81,62,74,62,78,0,0,75,63,0,0,,,,52,,,,99,70,72,79,80,74,59,0,0,84,68,0,0,False,,,1,,,,,,0,50,power_starter,
P8275,Roberto,Delgado,1987-03-21,77,232,Hispanic,dark,black,goatee,L,P,,1,,,,,,52,,,,57,59,53,68,58,54,86,21,0,0,0,0,0,,,,52,,,,50,56,55,57,54,57,51,16,0,0,0,0,0,False,,,1,,,,,,0,50,middle_relief,
P2208,Darnell,King,1999-07-14,73,244,African,dark,black,clean_shaven,L,P,,1,,,,,,53,,,,49,61,85,74,79,69,65,61,0,0,0,0,0,,,,53,,,,56,71,66,71,70,62,60,72,0,0,0,0,0,False,,,1,,,,,,0,50,finesse_starter,
